postalCode,place,latitude,longitude,specialOffice
2214,Sladki Vrh,46.6969077,15.7352802,
5283,Slap ob Idrijci,46.1187837,13.8054994,
2380,Slovenj Gradec,46.509519822117646,15.077908291686276,
2310,Slovenska Bistrica,46.39153853260325,15.562992601251564,
3210,Slovenske Konjice,46.34407688966756,15.430970482210244,
1216,Smlednik,46.1640594,14.4342229,
5232,Soča,46.3425011,13.6682924,
1317,Sodražica,45.758535667,14.636977568,
3335,Solčava,46.414554241949155,14.676606137288136,
5250,Solkan,45.9678211,13.6455643,
4229,Sorica,46.235787,14.007876038249055,
4225,Sovodenj,46.0854411,14.0380984,
5281,Spodnja Idrija,46.0336318,14.0212015,
2241,Spodnji Duplek,46.5033387,15.7479471,
9245,Spodnji Ivanjci,46.5933668,15.9819551,
2277,Središče ob Dravi,46.40030838346253,16.255822562144704,
4267,Srednja vas v Bohinju,46.302324531,13.926002045,
8256,Sromlje,45.9894321,15.5926304,
5224,Srpenica,46.2916428,13.4985997,
1242,Stahovica,46.2688527,14.6045533,
1332,Stara Cerkev,45.6718512,14.8287286,
8342,Stari trg ob Kolpi,45.4923762,15.0698653,
1386,Stari trg pri Ložu,45.7147312,14.4571629,
2205,Starše,46.456096878,15.785463211,
2289,Stoperce,46.2903644,15.7172966,
8322,Stopie,45.767421333,15.210402888,
3206,Stranice,46.3617593,15.3643407,
8351,Straža,45.78558729134199,15.077920675757575,
1313,Struge,45.7835179,14.7741571,
8293,Studenec,45.971644,15.3504244,
8331,Suhor,45.6891615,15.2761226,
2353,Sv. Duh na Ostrem Vrhu,46.611864255,15.501274745,
2233,Sveta Ana v Slovenskih goricah,46.663461714074074,15.826698480000001,
2235,Sveta Trojica v Slovenskih goricah,46.56984989265034,15.879511581959912,
9244,Sveti Jurij ob Ščavnici,46.574361978382356,16.034043501764707,
3264,Sveti Štefan,46.1801309,15.4198161,
2258,Sveti Tomaž,46.4852009640884,16.05944738287293,
9204,Šalovci,46.835802091,16.267960338,
5261,Šempas,45.9289545,13.7443171,
5290,Šempeter pri Gorici,45.92187291292918,13.639826274034336,
3311,Šempeter v Savinjski dolini,46.2560229,15.1170473,
4208,Šenčur,46.23306457,14.421712506,
2212,Šentilj v Slovenskih goricah,46.67635363,15.654170882,
8297,Šentjanž,46.0110114,15.1694369,
2373,Šentjanž pri Dravogradu,46.5614896,15.0378336,
8310,Šentjernej,45.832152649,15.335354166,
3230,Šentjur,46.216322601,15.39499545,
3271,Šentrupert,46.2484998,15.0638449,
8232,Šentrupert,45.967674674,15.092814914,
1296,Šentvid pri Stični,45.9533878,14.8386005,
8275,Škocjan,45.916600791,15.291719526,
6281,Škofije,45.5711983,13.7923335,
4220,Škofja Loka,46.16245264954928,14.30468431703726,
3211,Škofja vas,46.2690814,15.2907989,
1291,Škofljica,45.984923668,14.570419157,
6274,Šmarje,45.5004981,13.7171033,
1293,Šmarje - Sap,45.9757515,14.6132094,
3240,Šmarje pri Jelšah,46.23193728165007,15.521117900284496,
8220,Šmarješke Toplice,45.862494,15.221865,
2315,Šmartno na Pohorju,46.4447561,15.5386982,
3341,Šmartno ob Dreti,46.2834704,14.8887973,
3327,Šmartno ob Paki,46.329884,15.0333868,
1275,Šmartno pri Litiji,46.03950940514286,14.849270514285713,
2383,Šmartno pri Slovenj Gradcu,46.4930859,15.1066259,
3201,Šmartno v Rožni dolini,46.2937273,15.2461314,
3325,Šoštanj,46.379023303,15.072311116,
6222,Štanjel,45.8237883,13.8442901,
3220,Štore,46.213411197,15.320014606,
3304,Tabor,46.233334085,15.012508037,
3221,Teharje,46.2296202,15.3019923,
9251,Tišina,46.659425066,16.083295742,
5220,Tolmin,46.184303517,13.726837297,
3326,Topolšica,46.4013506,15.0213924,
2371,Trbonje,46.6005054,15.1054618,
1420,Trbovlje,46.15166896,15.047144671,
8231,Trebelno,45.9109436,15.1497602,
8210,Trebnje,45.908273466,15.017926218,
5252,Trnovo pri Gorici,45.972467,13.7439927,
2254,Trnovska vas,46.516579687002654,15.883954649867373,
1222,Trojane,46.1882207,14.8861224,
1236,Trzin,46.132592697,14.560448271,
4290,Tržič,46.362144262,14.294761903,
8295,Tržišče,45.9583132,15.1927312,
1311,Turjak,45.8778029,14.6128115,
9224,Turnišče,46.619502008,16.31330772,
8323,Uršna sela,45.7176743,15.1256817,
1252,Vače,46.1192723,14.8373697,
3320,Velenje,46.359520692,15.114543683,
3322,Velenje,46.3635333,15.1042382,
8212,Velika Loka,45.9275338,14.9389393,
2274,Velika Nedelja,46.4229506,16.1045393,
9225,Velika Polana,46.57702413544776,16.345485631902985,
1315,Velike Lašče,45.83401181336207,14.622114755603448,
8213,Veliki Gaber,45.925357,14.8651933,
9241,Veržej,46.57839054,16.168699458,
1312,Videm - Dobrepolje,45.8486284,14.694642,
2284,Videm pri Ptuju,46.368795540250446,15.881655366189623,
8344,Vinica,45.4602334,15.2537407,
5271,Vipava,45.84995279,13.949935352,
4212,Visoko,46.2706198,14.418173,
1294,Višnja Gora,45.9554365,14.7440991,
3205,Vitanje,46.39284368222222,15.296030375555556,
2255,Vitomarci,46.5249836,15.9338607,
1217,Vodice,46.168089643,14.503558342,
3212,Vojnik,46.289863661,15.311541003,
5293,Volčja Draga,45.9054237,13.6760431,
2232,Voličina,46.544336,15.8105478,
3305,Vransko,46.246404659,14.954996241,
6217,Vremski Britof,45.6575445,14.0300462,
1360,Vrhnika,45.972731649,14.292259303,
2365,Vuhred,46.5942732,15.2306458,
2367,Vuzenica,46.595446537,15.167986838,
8292,Zabukovje,46.0528427,15.3666713,
1410,Zagorje ob Savi,46.126695714089344,14.983337292268041,
1303,Zagradec,45.8596002,14.8344631,
2283,Zavrč,46.369884961,16.037848742,
8272,Zdole,45.9761316,15.5427518,
4201,Zgornja Besnica,46.259887237,14.285471392,
2242,Zgornja Korena,46.525545641,15.770502224,
2201,Zgornja Kungota,46.639220559,15.612807858,
2316,Zgornja Ložnica,46.393722773,15.512460991,
2314,Zgornja Polskava,46.429381024,15.609270587,
2213,Zgornja Velka,46.684752946,15.778939638,
4247,Zgornje Gorje,46.3798235,14.0680616,
4206,Zgornje Jezersko,46.3935401,14.4978789,
2285,Zgornji Leskovec,46.3273726,15.9349875,
1432,Zidani Most,46.0855476,15.171939,
3214,Zreče,46.404766746,15.374549859,
4209,Žabnica,46.1966774,14.3320295,
3310,Žalec,46.283412994520546,15.186167243264839,
4228,Železniki,46.21649512213439,14.115957515415019,
2287,Žetale,46.276961815,15.796139384,
4226,Žiri,46.049065964,14.114970937,
4274,Žirovnica,46.397951703,14.146245614,
8360,Žužemberk,45.84112806214511,14.924101587066245,
