objectId,latitude,longitude,postalCode,place
0o4kRyWIns,46.3176,14.9467,3331,Nazarje
yJiqYmvbLj,46.3167,14.9167,3332,Reèica ob Savinji
Fu1dUJBj7d,46.3436,14.8338,3333,Ljubno ob Savinji
Sv5xeG8WBC,46.3561,14.7467,3334,Luèe
erSplpcVcC,46.4194,14.6936,3335,Solèava
nIoXEjmnSX,46.2839,14.8903,3341,Šmartno ob Dreti
BG284vf6bC,46.2953,14.8083,3342,Gornji Grad
5Vpm0EbaNs,46.2309,15.2604,3502,Celje
Z08nK0bYeF,46.2389,14.3556,4000,Kranj - dostava
rWmAj9yBku,46.2389,14.3556,4001,Kranj - poštni predali
Ja4jjFXBKq,46.2667,14.2833,4201,Zgornja Besnica
rF8wNHy9gd,46.2728,14.3172,4202,Naklo
4mdGZUxDVd,46.2821,14.3831,4203,Duplje
qshNXodxBH,46.3333,14.3333,4204,Golnik
KexSnxJHiu,46.3025,14.4231,4205,Preddvor
c0DyY5reh8,46.3833,14.4667,4206,Zgornje Jezersko
uyAl1BPgPB,46.2542,14.4886,4207,Cerklje na Gorenjskem
UNf8HJI4vq,46.2456,14.4197,4208,Šenèur
ITi50QjuGn,46.1986,14.3331,4209,Žabnica
2VEAIsf0rI,46.2264,14.4064,4210,Brnik aerodrom
VkvCbYGfGY,46.1818,14.3948,4211,Mavèièe
Z01m8FCLqw,46.2711,14.4181,4212,Visoko
IiEDDqKAa4,46.1655,14.3063,4220,Škofja Loka
0pi8iDESSp,46.121,14.1862,4223,Poljane nad Škofjo Loko
Yj4amBEb8S,46.1667,14.15,4224,Gorenja vas
wCn0sGsmMc,46.0864,14.0436,4225,Sovodenj
vjlbPpT7fj,46.0422,14.1072,4226,Žiri
UsdcAfWQiI,46.2244,14.2056,4227,Selca
3iDBSaSEAL,46.2333,14.1667,4228,Železniki
3A6BJHyLGJ,46.2167,14.0333,4229,Sorica
rpqVbzFHZN,46.3444,14.1744,4240,Radovljica
QBv2ssYxmr,46.329,14.2323,4243,Brezje
9l4vIHarLG,46.2952,14.2557,4244,Podnart
J7BDBDGexC,46.3,14.2,4245,Kropa
16lcoOqedA,46.3167,14.2,4246,Kamna Gorica
KkCYJH65Em,46.3796,14.0694,4247,Zgornje Gorje
jXG1dP0Efy,46.3611,14.1578,4248,Lesce
fXfOKplZk1,46.3692,14.1136,4260,Bled
pgolIQnddb,46.3489,14.0639,4263,Bohinjska Bela
CZONhe7qf8,46.2722,13.9535,4264,Bohinjska Bistrica
shBH6aBLM4,46.3218,14.0141,4265,Bohinjsko jezero
VYaY8Nhhfs,46.297,13.9256,4267,Srednja vas v Bohinju
5l8ujP1xiI,46.4306,14.0669,4270,Jesenice
weEgj4eKhi,46.4,14.1,4273,Blejska Dobrava
MAoZwvTd2F,46.4047,14.14,4274,Žirovnica
6nFfipV0YY,46.3833,14.2167,4275,Begunje na Gorenjskem
0yIG3aaj81,46.445,14.0178,4276,Hrušica
RWXjFXwfxN,46.4839,13.7894,4280,Kranjska Gora
rF3Hy9MNEH,46.4611,13.9369,4281,Mojstrana
bPjbu1DiSH,46.4833,13.8333,4282,Gozd Martuljek
YtjqCdr3Cn,46.4761,13.8532,4283,Rateèe-Planica
M2Ej8lQBWG,46.3636,14.3105,4290,Tržiè
5dyivfHx44,46.3428,14.3014,4294,Križe
MpaUjIVFYu,46.2389,14.3556,4600,Kranj
IX7GAL0gUN,45.958,13.6469,5000,Nova Gorica - dostava
oJ8MmLnvsC,45.9431,13.6393,5001,Nova Gorica - poštni predali
